;Env;DF;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2
1;X;X;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value
2;age_class;3;2.71;0.438;22.44;0;1.67;0.645;0.42;0.937;2.49;0.478;8.49;0.037;43.63;0;2.61;0.456;4.78;0.189;3.22;0.36;0.62;0.892;1.45;0.695;2.41;0.491;9.75;0.021;17.93;0;4.28;0.233
3;samcam;1;1.71;0.191;0.32;0.569;15.47;0;0.47;0.492;0.36;0.549;5.15;0.023;1.72;0.19;0.13;0.723;0.18;0.668;2.5;0.114;11.04;0.001;0.76;0.385;0.73;0.393;1.12;0.29;1.65;0.199;0.06;0.804
4;age_class:samcam;3;5.3;0.151;15.17;0.002;1.38;0.71;2.69;0.443;1.32;0.725;16.18;0.001;13.83;0.003;5.4;0.145;7.73;0.052;26.66;0;2.77;0.428;10.96;0.012;4.58;0.205;0.7;0.873;13.65;0.003;14.67;0.002
5;R2m;NA;NA;0.07;NA;0.1;NA;0.18;NA;0.02;NA;0.06;NA;0.2;NA;0.14;NA;0.06;NA;0.36;NA;0.47;NA;0.4;NA;0.23;NA;0.23;NA;0.43;NA;0.6;NA;0.35
6;R2c;NA;NA;0.17;NA;0.1;NA;0.23;NA;0.05;NA;0.23;NA;0.41;NA;0.14;NA;0.21;NA;0.65;NA;0.75;NA;0.59;NA;0.78;NA;0.68;NA;0.85;NA;0.86;NA;0.77
7;X;X;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson
;Env;DF;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2
1;X;X;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;Chisq;p-value;Chisq;p-value;Chisq;p-value;Chisq;p-value;Chisq;p-value;Chisq;p-value;Chisq;p-value;Chisq;p-value
2;NA;NA;3.29;0.349;12.9;0.005;1.96;0.581;0.75;0.862;2.09;0.555;6.67;0.083;19.16;0;2.48;0.48;4.22;0.238;2.97;0.396;0.76;0.859;1.62;0.654;2.35;0.503;7.23;0.065;10.64;0.014;3.72;0.293
3;NA;NA;1.09;0.296;0.3;0.586;14.87;0;0.67;0.413;0.19;0.665;3.74;0.053;1.39;0.239;0.18;0.673;0;0.978;2.47;0.116;9.18;0.002;1.87;0.171;0.41;0.524;1.12;0.29;1.01;0.315;0.05;0.83
4;NA;NA;4.17;0.244;11.38;0.01;1.55;0.672;2.77;0.428;1.31;0.728;8.13;0.043;10.43;0.015;4.54;0.209;5.21;0.157;13.85;0.003;2.63;0.452;7.77;0.051;4.01;0.26;0.67;0.879;9.16;0.027;9.59;0.022
5;R2m;NA;NA;0.07;NA;0.1;NA;0.18;NA;0.02;NA;0.06;NA;0.2;NA;0.14;NA;0.06;NA;0.36;NA;0.47;NA;0.4;NA;0.23;NA;0.23;NA;0.43;NA;0.6;NA;0.35
6;R2c;NA;NA;0.17;NA;0.1;NA;0.23;NA;0.05;NA;0.23;NA;0.41;NA;0.14;NA;0.21;NA;0.65;NA;0.75;NA;0.59;NA;0.78;NA;0.68;NA;0.85;NA;0.86;NA;0.77
7;X;X;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson;poisson
;Factor1;Factor1;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2
1;age_class;samcam;prob;group;prob;group;prob;group;prob;group;prob;group;prob;group;prob;group;prob;group;rate;group;rate;group;rate;group;rate;group;rate;group;rate;group;rate;group;rate;group
2;B_Sp_young;2;0.051255734;1;0.379789041;12;0.011329206;1;0.042031843;1;0.11098759;1;0.215207764;12;0.485891405;12;0.174956071;1;23.59039917;1;356.5042672;1;1.556660487;12;39.10919102;1;106.5611244;1;180.9990123;1;460.2097506;1234;156.8084753;12
3;C_Sp_int1;2;0.173011863;1;0.440062354;1;0.009435404;1;0.046545789;1;0.129622482;1;0.137636006;12;0.277694384;1;0.350402624;1;186.0555028;1;376.3054561;1;4.20487865;12;31.5563694;1;110.6827711;1;120.9821187;1;236.5163101;1;297.2957235;12
4;D_Sp_int2;2;0.061267462;1;0.236651126;1234;0.012493644;1;0.038366348;1;0.226795428;1;0.237521912;12;0.641946473;23;0.32874342;1;105.8506528;1;414.3222053;1;6.871463532;12;65.08899886;1;241.9907118;1;250.8922425;1;1117.440616;23;420.2424518;12
5;E_Sp_old;2;0.035593715;1;0.125973635;3;0.003156222;1;0.025982686;1;0.058173963;1;0.733174107;1;0.800758683;3;0.096710531;1;58.46031103;1;196.185656;12;0.76464399;1;36.07290916;1;88.8739434;1;1153.712206;1;1271.563491;  2 4;151.6753575;1
6;B_Sp_young;4;0.048001795;1;0.150128339;34;0.050489533;1;0.020453717;1;0.068936622;1;0.372199897;12;0.654069116;23;0.165848196;1;28.0141806;1;108.8077761;2;17.37084905;12;11.11796462;1;35.4024852;1;160.0596387;1;483.3925994;1234;96.72668497;12
7;C_Sp_int1;4;0.109556682;1;0.409620764;12;0.025704915;1;0.03724403;1;0.090175709;1;0.062057454;2;0.306800351;1;0.234246492;1;38.50002578;1;279.8257589;12;20.77307106;12;26.99141931;1;87.80518633;1;82.80552649;1;302.6044159; 1 3 ;215.945777;12
8;D_Sp_int2;4;0.116112964;1;0.319992489; 12 4;0.032951222;1;0.031785286;1;0.199028187;1;0.162431044;12;0.434321758;12;0.337404778;1;113.976536;1;305.1668165;12;32.87072485;12;25.51201459;1;188.8159563;1;150.7441543;1;417.8981126; 1  4;320.6029809;12
9;E_Sp_old;4;0.093370047;1;0.199094558;234;0.028574153;1;0.038088405;1;0.094873234;1;0.484377011;2;0.623642867;23;0.226905678;1;212.7775795;1;454.6340836;1;65.48776338;2;87.38966424;1;199.7600681;1;1119.078515;1;1438.244574;  2 4;518.3476054;2
;contrast;samcam;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2
1;B_Sp_young - C_Sp_int1;2;-1.35;0.318;-0.25;0.899;0.18;0.997;-0.11;0.996;-0.18;0.998;0.54;0.945;0.9;0.071;-0.93;0.668;-2.07;0.17;-0.05;0.999;-0.99;0.935;0.21;0.994;-0.04;1;0.4;0.968;0.67;0.433;-0.64;0.714
2;B_Sp_young - D_Sp_int2;2;-0.19;0.994;0.68;0.243;-0.1;0.999;0.1;0.998;-0.85;0.811;-0.13;0.999;-0.64;0.298;-0.84;0.744;-1.5;0.341;-0.15;0.982;-1.48;0.813;-0.51;0.93;-0.82;0.794;-0.33;0.983;-0.89;0.182;-0.99;0.36
3;B_Sp_young - E_Sp_old;2;0.38;0.959;1.45;0.001;1.29;0.701;0.5;0.793;0.7;0.888;-2.3;0.08;-1.45;0.001;0.68;0.847;-0.91;0.746;0.6;0.44;0.71;0.978;0.08;1;0.18;0.997;-1.85;0.151;-1.02;0.096;0.03;1
4;C_Sp_int1 - D_Sp_int2;2;1.16;0.425;0.93;0.051;-0.28;0.987;0.2;0.977;-0.68;0.893;-0.67;0.901;-1.54;0;0.1;0.999;0.56;0.94;-0.1;0.995;-0.49;0.989;-0.72;0.826;-0.78;0.816;-0.73;0.841;-1.55;0.002;-0.35;0.94
5;C_Sp_int1 - E_Sp_old;2;1.73;0.126;1.7;0;1.1;0.803;0.6;0.669;0.88;0.798;-2.85;0.016;-2.35;0;1.62;0.207;1.16;0.642;0.65;0.361;1.7;0.748;-0.13;0.999;0.22;0.995;-2.26;0.05;-1.68;0.001;0.67;0.68
6;D_Sp_int2 - E_Sp_old;2;0.57;0.871;0.77;0.194;1.39;0.646;0.4;0.882;1.56;0.375;-2.18;0.108;-0.81;0.138;1.52;0.263;0.59;0.905;0.75;0.24;2.2;0.564;0.59;0.897;1;0.674;-1.53;0.305;-0.13;0.991;1.02;0.329
7;B_Sp_young - C_Sp_int1;4;-0.89;0.607;-1.37;0.005;0.7;0.694;-0.62;0.747;-0.29;0.991;2.19;0.132;1.45;0.002;-0.43;0.954;-0.32;0.985;-0.94;0.136;-0.18;1;-0.89;0.767;-0.91;0.746;0.66;0.894;0.47;0.754;-0.8;0.549
8;B_Sp_young - D_Sp_int2;4;-0.96;0.544;-0.98;0.042;0.45;0.846;-0.45;0.911;-1.21;0.6;1.12;0.656;0.9;0.062;-0.94;0.666;-1.4;0.383;-1.03;0.05;-0.64;0.975;-0.83;0.824;-1.67;0.247;0.06;1;0.15;0.988;-1.2;0.198
9;B_Sp_young - E_Sp_old;4;-0.71;0.758;-0.34;0.804;0.59;0.715;-0.64;0.728;-0.35;0.988;-0.46;0.964;0.13;0.984;-0.39;0.966;-2.03;0.098;-1.43;0.002;-1.33;0.818;-2.06;0.103;-1.73;0.281;-1.94;0.12;-1.09;0.063;-1.68;0.029
10;C_Sp_int1 - D_Sp_int2;4;-0.07;1;0.39;0.764;-0.26;0.98;0.16;0.992;-0.92;0.768;-1.08;0.71;-0.55;0.531;-0.51;0.924;-1.09;0.62;-0.09;0.997;-0.46;0.992;0.06;1;-0.77;0.825;-0.6;0.918;-0.32;0.904;-0.4;0.914
11;C_Sp_int1 - E_Sp_old;4;0.18;0.994;1.03;0.055;-0.11;0.998;-0.02;1;-0.06;1;-2.65;0.04;-1.32;0.007;0.04;1;-1.71;0.225;-0.49;0.681;-1.15;0.897;-1.17;0.507;-0.82;0.827;-2.6;0.026;-1.56;0.005;-0.88;0.466
12;D_Sp_int2 - E_Sp_old;4;0.24;0.985;0.64;0.297;0.15;0.994;-0.19;0.988;0.86;0.833;-1.58;0.351;-0.77;0.143;0.55;0.906;-0.62;0.891;-0.4;0.748;-0.69;0.966;-1.23;0.515;-0.06;1;-2;0.102;-1.24;0.026;-0.48;0.855
;contrast;age_class;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2
1;02. Apr;B_Sp_young;0.07;0.895;1.24;0.001;-1.53;0.006;0.74;0.171;0.52;0.423;-0.77;0.033;-0.69;0.052;0.06;0.899;-0.17;0.802;1.19;0;-2.41;0.094;1.26;0.026;1.1;0.061;0.12;0.788;-0.05;0.85;0.48;0.191
2;02. Apr;C_Sp_int1;0.53;0.349;0.12;0.748;-1.02;0.165;0.23;0.54;0.41;0.501;0.88;0.054;-0.14;0.729;0.57;0.232;1.58;0.052;0.3;0.367;-1.6;0.285;0.16;0.741;0.23;0.685;0.38;0.486;-0.25;0.429;0.32;0.374
3;02. Apr;D_Sp_int2;-0.7;0.139;-0.42;0.234;-0.99;0.09;0.19;0.696;0.17;0.782;0.47;0.191;0.85;0.017;-0.04;0.935;-0.07;0.908;0.31;0.268;-1.57;0.221;0.94;0.09;0.25;0.663;0.51;0.262;0.98;0;0.27;0.451
4;02. Apr;E_Sp_old;-1.03;0.047;-0.55;0.146;-2.23;0.034;-0.39;0.385;-0.53;0.476;1.07;0.001;0.89;0.015;-1.01;0.043;-1.29;0.044;-0.84;0.002;-4.45;0.002;-0.88;0.052;-0.81;0.228;0.03;0.946;-0.12;0.633;-1.23;0.001
;Env;DF;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2;;;;;;;;;;;;;;;;
1;X;X;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;;;;;;;;;;;;;;;;
2;(Intercept);1;29.68;0;3.71;0.054;57.53;0;79.3;0;9.38;0.002;3.49;0.062;0.05;0.827;6.93;0.008;;;;;;;;;;;;;;;;
3;age_class;3;5.23;0.155;23.83;0;1.46;0.692;1.38;0.71;2.62;0.455;10.28;0.016;41.53;0;5.03;0.169;;;;;;;;;;;;;;;;
4;samcam;1;0.02;0.895;11.87;0.001;7.56;0.006;1.87;0.171;0.64;0.423;4.55;0.033;3.79;0.052;0.02;0.899;;;;;;;;;;;;;;;;
5;age_class:samcam;3;5.3;0.151;15.17;0.002;1.38;0.71;2.69;0.443;1.32;0.725;16.18;0.001;13.83;0.003;5.4;0.145;;;;;;;;;;;;;;;;
6;R2m;NA;NA;0.07;NA;0.1;NA;0.18;NA;0.02;NA;0.06;NA;0.2;NA;0.14;NA;0.06;;;;;;;;;;;;;;;;
7;R2c;NA;NA;0.17;NA;0.1;NA;0.23;NA;0.05;NA;0.23;NA;0.41;NA;0.14;NA;0.21;;;;;;;;;;;;;;;;
8;X;X;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;;;;;;;;;;;;;;;;
;Env;DF;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2
1;X;X;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value
2;age_class;4;17.32;0.002;16.15;0.003;11.09;0.026;2.61;0.624;1.73;0.786;9.15;0.057;24.5;0;3.43;0.489;75.05;0;19.74;0.001;27.4;0;21.02;0;24.86;0;43.15;0;181.53;0;51.32;0
3;R2m;NA;NA;0.12;NA;0.09;NA;0.24;NA;0.02;NA;0.02;NA;0.12;NA;0.1;NA;0.04;NA;0.83;NA;0.55;NA;0.73;NA;0.57;NA;0.61;NA;0.73;NA;0.92;NA;0.77
4;R2c;NA;NA;0.12;NA;0.09;NA;0.24;NA;0.02;NA;0.02;NA;0.12;NA;0.1;NA;0.04;NA;0.83;NA;0.55;NA;0.73;NA;0.57;NA;0.61;NA;0.73;NA;0.92;NA;0.77
5;X;X;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial
;Env;DF;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2
1;X;X;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value
2;NA;NA;12.07;0.017;11.46;0.022;13.33;0.01;2.5;0.645;1.63;0.804;7.22;0.125;15.59;0.004;3.15;0.533;26.45;0;13.1;0.011;19.44;0.001;13.8;0.008;15.36;0.004;21.36;0;42;0;23.56;0
3;R2m;NA;NA;0.12;NA;0.09;NA;0.24;NA;0.02;NA;0.02;NA;0.12;NA;0.1;NA;0.04;NA;0.83;NA;0.55;NA;0.73;NA;0.57;NA;0.61;NA;0.73;NA;0.92;NA;0.77
4;R2c;NA;NA;0.12;NA;0.09;NA;0.24;NA;0.02;NA;0.02;NA;0.12;NA;0.1;NA;0.04;NA;0.83;NA;0.55;NA;0.73;NA;0.57;NA;0.61;NA;0.73;NA;0.92;NA;0.77
5;X;X;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial
;Contrast;;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value
1;A_Cm - avg(B_Sp_young,C_Sp_int1,D_Sp_int2,E_Sp_old);;-0.069;0.002;0.197;0.003;-0.023;0.006;0.013;0.341;-0.01;0.945;-0.1;0.435;-0.127;0.057;-0.065;0.439;-312.837;0;-592.146;0.005;-55.752;0;-99.277;0;-393.894;0;-791.533;0;-1390.489;0;-759.017;0
;Contrast;;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value
1;B_Sp_young - A_Cm;;0.03;0.369;-0.226;0.066;0.035;0.005;-0.007;0.977;-0.024;0.976;0.096;0.855;0.183;0.154;-0.003;1;15.576;0.397;-37.694;0.973;15.039;0.014;19.511;0.6;31.151;0.828;105.859;0.286;352.144;0;68.864;0.438
2;C_Sp_int1 - A_Cm;;0.136;0;-0.047;0.962;0.021;0.039;-0.018;0.771;-0.004;1;-0.081;0.798;-0.134;0.303;0.118;0.648;651.971;0;1242.875;0.005;65.084;0;122.095;0.003;523.71;0.001;518.362;0.001;1018.466;0;1290.202;0
3;D_Sp_int2 - A_Cm;;0.066;0.031;-0.199;0.136;0.021;0.04;0.001;1;0.096;0.715;-0.007;1;0.142;0.347;0.165;0.433;368.688;0;877.791;0.007;93.511;0;174.796;0;730.045;0;634.513;0;1985.074;0;1200.807;0
4;E_Sp_old - A_Cm;;0.042;0.175;-0.317;0.001;0.012;0.194;-0.027;0.423;-0.027;0.965;0.39;0.057;0.317;0.002;-0.019;0.991;215.115;0;285.612;0.332;49.374;0;80.707;0.023;290.668;0.016;1907.396;0;2206.272;0;476.194;0
